no,iOS,English,Vietnamese,Spanish,Portuguese,Indonesian,Malaysian,Hindi ,Chinese
,ID_EARN_MORE_VCOIN,earn CU,,,,,,,
,ID_FROM_EARN_MORE_VCOINS,From Earn Vodi Coins,,,,,,,
,ID_SEND_EGIFT_TO_FRIEND,sondang,,,,,,,
,ID_TITLE_HISTORY_VOTING,%@ casted %@ votes for %@,%@ bình chọn %@ phiếu cho %@,,,,,,
,ID_TITLE_HISTORY_VOTING,Casted %d votes,Bình chọn %d phiếu,,,,,,
,ID_NO_HISTORY_VOTING,No purchase history for Voting,Chưa có lịch sử Bình chọn,,,,,,
,ID_REFUNDED_VOTING,Refunded voting,Trả lại Bình Chọn,,,,,,
,ID_CALL_NOW,Call Now,Gọi Ngay,Llama Ahora,Chamada Agora,Panggilan Sekarang,Panggilan Sekarang,कॉल अब,通话 现在
,ID_SELECT_PHONE_NUMBER_TO_CALL_VODIOUT,Select phone number to Call with Vodi Out,Chọn số để gọi Vodi Out,Seleccionar número de Llamar a Vodi Out,Selecionar número de telefone para Chamada com Vodi Out,Pilih nomor telepon untuk Panggilan dengan Vodi Out,Pilih nombor telefon untuk Panggil dengan Vodi Keluar,के लिए फ़ोन नंबर का चयन करें Vodi Out कॉल करें,选择电话号码通话 Vodi Out 
,ID_CALL_WITH_VODIOUT,Call with Vodi Out,Gọi Vodi Out,Llamada con Vodi Out,Chamada com Vodi Out,Panggilan dengan Vodi Out,Panggil dengan Vodi Keluar,Vodi Out कॉल करें,通话 Vodi Out
,ID_EARN_MORE_VCOIN_ADD_NEW,earn CU,,,,,,,
